"","JulianDay","LimncalanusM","LimncalanusF","D.mendotae","Prior_to_1st_Daphnia_obs","Bythotrephes","Date"
"1",NA,NA,NA,NA,NA,NA,0094-04-21
"2",144,0.452333333333333,1.01333333333333,0.00633333333333333,0.666666666666667,0,0094-05-20
"3",175.666666666667,1.24033333333333,2.16666666666667,1.25733333333333,0.333333333333333,0.0213333333333333,0094-06-30
"4",201.666666666667,1.695,2.32766666666667,6.15233333333333,0,0.132333333333333,0094-07-25
"5",231,2.78633333333333,2.94466666666667,22.212,0,0.455333333333333,0094-08-06
"6",267,2.33366666666667,2.30466666666667,21.1846666666667,0,0.642333333333333,0094-09-26
"7",226.666666666667,1.79733333333333,1.853,16.2896666666667,0.333333333333333,0.531333333333333,0094-11-10
"8",172.666666666667,0.396666666666667,0.617333333333333,0.223666666666667,0.666666666666667,0.208333333333333,0095-04-07
"9",107.333333333333,0.141666666666667,0.101666666666667,0.0046666666666673,0.666666666666667,-1.85037170770859e-17,0095-04-17
"10",125.333333333333,0.514666666666667,0.498333333333333,0.0046666666666673,0.333333333333333,-1.85037170770859e-17,0095-04-28
"11",141.666666666667,0.874333333333333,0.813333333333333,0.0046666666666673,0,-1.85037170770859e-17,0095-05-31
"12",160,1.61766666666667,1.539,0.00900000000000063,0,-1.85037170770859e-17,0095-06-05
"13",169.666666666667,1.84833333333333,2.14466666666667,0.0550000000000006,0,0.000999999999999982,0095-06-22
"14",181.333333333333,1.758,2.19033333333333,0.438333333333334,0,0.00166666666666665,0095-06-29
"15",189.666666666667,1.313,2.29833333333333,0.781666666666667,0,0.00166666666666665,0095-07-10
"16",198,1.30833333333333,2.05,1.83666666666667,0,0.0263333333333333,0095-07-17
"17",205,1.747,2.83366666666667,3.26633333333333,0,0.154666666666667,0095-07-24
"18",215.333333333333,1.79233333333333,2.75233333333333,9.13,0,0.179333333333333,0095-07-31
"19",227.666666666667,1.42333333333333,2.62333333333333,10.773,0,0.184,0095-08-17
"20",244,1.373,2.003,15.7923333333333,0,0.0786666666666666,0095-08-30
"21",262,1.16966666666667,1.61533333333333,12.709,0,0.472333333333333,0095-09-18
"22",292.333333333333,0.913,0.990333333333333,9.97,0,0.483333333333333,0095-10-10
"23",238.333333333333,0.232666666666667,0.436,3.13766666666667,0.333333333333333,0.459666666666667,0095-11-29
"24",179.666666666667,0.0416666666666667,0.0163333333333333,0.00500000000000118,0.666666666666667,0.0413333333333333,0096-04-08
"25",110,0.0823333333333333,0.0746666666666666,1.17961196366423e-15,1,-3.84530370508192e-17,0096-04-16
"26",125,0.108333333333333,1.34366666666667,1.17961196366423e-15,1,-3.84530370508192e-17,0096-05-03
"27",141,0.435666666666667,2.16933333333333,1.17961196366423e-15,1,-3.84530370508192e-17,0096-05-23
"28",153.333333333333,0.964,3.07266666666667,1.17961196366423e-15,1,-3.84530370508192e-17,0096-06-03
"29",171.666666666667,1.88166666666667,2.93466666666667,0.0143333333333345,0.666666666666667,0.0133333333333333,0096-06-10
"30",193,1.91133333333333,2.796,2.844,0.333333333333333,0.244666666666667,0096-07-17
"31",231,1.50166666666667,2.27933333333333,14.1486666666667,0,0.486333333333333,0096-08-06
"32",268,0.546,1.27,14.3656666666667,0,1.204,0096-10-01
"33",308,0.159333333333333,0.734,11.536,0,1.026,0096-11-05
"34",244,0.0676666666666667,0.458666666666667,0.231333333333335,0.333333333333333,0.784333333333333,0096-12-04
"35",178,0.183,0.495666666666667,1.16573417585641e-15,0.666666666666667,0.0533333333333333,0097-03-24
"36",111.666666666667,0.336,0.702,0.0136666666666678,0.666666666666667,-4.0766001685455e-17,0097-04-22
"37",143,2.23033333333333,2.91466666666667,0.0796666666666678,0.333333333333333,-4.0766001685455e-17,0097-05-20
"38",173,3.097,3.73966666666667,1.45033333333333,0,0.029,0097-06-26
"39",205.333333333333,4.334,5.42533333333333,8.88633333333333,0,0.279666666666667,0097-07-21
"40",235.333333333333,2.94766666666667,3.89633333333333,11.8016666666667,0,0.606333333333333,0097-08-25
"41",266.666666666667,3.031,4.48066666666667,10.632,0,0.814666666666667,0097-09-24
"42",296,1.88733333333333,2.52033333333333,3.21866666666667,0,0.631333333333333,0097-10-23
"43",319,1.659,2.011,0.237333333333335,0,0.311666666666667,0097-11-21
"44",238.666666666667,0.954666666666666,0.910666666666667,0.0363333333333348,0.333333333333333,0.0743333333333333,0097-12-02
"45",156.333333333333,0.899,0.972333333333334,1.42709917957025e-15,0.666666666666667,0.00699999999999996,0098-02-24
"46",81,0.551666666666666,0.734666666666667,1.42709917957025e-15,1,-4.42354486374086e-17,0098-03-19
"47",104,0.190666666666666,0.363666666666667,1.42709917957025e-15,1,-4.42354486374086e-17,0098-04-20
"48",136.666666666667,0.958666666666666,0.864,0.169333333333335,0.666666666666667,0.000666666666666622,0098-05-04
"49",162.666666666667,1.46433333333333,1.43533333333333,0.700666666666668,0.333333333333333,0.0683333333333333,0098-06-25
"50",198.333333333333,1.91,1.66933333333333,8.61866666666667,0,0.170333333333333,0098-07-07
"51",225.333333333333,1.03766666666667,1.33366666666667,10.8626666666667,0,0.201333333333333,0098-08-19
"52",261,0.564,0.703,11.246,0,0.143666666666667,0098-09-14
"53",284.666666666667,0.218666666666666,0.455333333333334,3.835,0,0.0416666666666666,0098-10-22
"54",306,0.17,0.221666666666667,1.454,0,0.134,0098-10-29
"55",321.666666666667,0.159,0.230666666666667,0.544000000000002,0,0.144,0098-11-17
"56",337,0.161333333333333,0.390333333333334,0.0370000000000018,0,0.144333333333333,0098-12-08
"57",246.666666666667,0.123666666666666,0.315,0.00466666666666846,0.333333333333333,0.0203333333333333,0098-12-14
"58",155,0.116,0.295,1.79196935068404e-15,0.666666666666667,0.000333333333333298,0099-02-19
"59",73.3333333333333,0.0133333333333331,0.384666666666667,1.79196935068404e-15,1,-3.55618312575245e-17,0099-03-14
"60",95.3333333333333,0.395333333333333,1.21933333333333,1.79196935068404e-15,1,-3.55618312575245e-17,0099-04-13
"61",124.666666666667,0.790333333333333,1.57666666666667,1.79196935068404e-15,1,-3.55618312575245e-17,0099-04-26
"62",160.666666666667,1.53433333333333,2.28366666666667,1.768,0.666666666666667,0.373666666666667,0099-06-04
"63",198.333333333333,1.72,1.92666666666667,4.45666666666667,0.333333333333333,0.377666666666667,0099-07-30
"64",232,2.28966666666667,2.61066666666667,7.90066666666667,0,0.499666666666667,0099-08-17
"65",277.333333333333,1.81466666666667,1.85733333333333,6.13633333333334,0,0.139,0099-09-12
"66",219,1.247,1.75366666666667,3.44766666666667,0.333333333333333,0.135,0099-12-13
